doc_title,n_positive,n_negative,net_sentiment,tfidf_positive,tfidf_negative,net_sentiment_tfidf
Circle of Commerce,366,256,110,0.004999224409019133,0.007215861646980447,-0.0022166372379613143
Free Trade,344,281,63,0.011343195584428836,0.016019016665033088,-0.004675821080604253
